Input String,Response String,text,Responder
"Amos: Merlin’s beard, Harry?","Harry: Er — yeah,","###Prompt: Amos: Merlin’s beard, Harry?
Answer as if you are Harry to the previous line.

###Assistant: Harry: Er — yeah,",Harry
"Weasley: Ced’s talked about you, of course,","Fred: Harry fell off his broom, Dad, I told you . . . it was an accident. . . .","###Prompt: Weasley: Ced’s talked about you, of course,
Answer as if you are Fred to the previous line.

###Assistant: Fred: Harry fell off his broom, Dad, I told you . . . it was an accident. . . .",Fred
"Amos: Yes, but you didn’t fall off, did you? Always modest, our Ced, always the gentleman . . . but the best man won, I’m sure Harry’d say the same, wouldn’t you, eh? One falls off his broom, one stays on, you don’t need to be a genius to tell which one’s the better flier!","Weasley: Must be nearly time, Do you know whether we’re waiting for any more, Amos?","###Prompt: Amos: Yes, but you didn’t fall off, did you? Always modest, our Ced, always the gentleman . . . but the best man won, I’m sure Harry’d say the same, wouldn’t you, eh? One falls off his broom, one stays on, you don’t need to be a genius to tell which one’s the better flier!
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Must be nearly time, Do you know whether we’re waiting for any more, Amos?",Weasley
"Amos: No, the Lovegoods have been there for a week already and the Fawcetts couldn’t get tickets, There aren’t any more of us in this area, are there?","Weasley: Not that I know of, Yes, it’s a minute off. . . . We’d better get ready. . . . You just need to touch the Portkey, that’s all, a finger will do — Three . . . two . . . one . . .","###Prompt: Amos: No, the Lovegoods have been there for a week already and the Fawcetts couldn’t get tickets, There aren’t any more of us in this area, are there?
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Not that I know of, Yes, it’s a minute off. . . . We’d better get ready. . . . You just need to touch the Portkey, that’s all, a finger will do — Three . . . two . . . one . . .",Weasley
"Strangers 2: Seven past five from Stoatshead Hill,Weasley: Morning! Morning,","Roberts: Morning! Morning,","###Prompt: Strangers 2: Seven past five from Stoatshead Hill,Weasley: Morning! Morning,
Answer as if you are Roberts to the previous line.

###Assistant: Roberts: Morning! Morning,",Roberts
Weasley: Would you be Mr. Roberts?,"Roberts: Aye, I would, And who’re you?","###Prompt: Weasley: Would you be Mr. Roberts?
Answer as if you are Roberts to the previous line.

###Assistant: Roberts: Aye, I would, And who’re you?",Roberts
"Weasley: Weasley — two tents, booked a couple of days ago?","Roberts: Aye, You’ve got a space up by the wood there. Just the one night?","###Prompt: Weasley: Weasley — two tents, booked a couple of days ago?
Answer as if you are Roberts to the previous line.

###Assistant: Roberts: Aye, You’ve got a space up by the wood there. Just the one night?",Roberts
"Weasley: That’s it,","Roberts: You’ll be paying now, then?","###Prompt: Weasley: That’s it,
Answer as if you are Roberts to the previous line.

###Assistant: Roberts: You’ll be paying now, then?",Roberts
"Weasley: Help me, Harry, This one’s a — a — a ten? Ah yes, I see the little number on it now. . . . So this is a five?","Harry: A twenty, Ah yes, so it is. . . . I don’t know, these little bits of paper . . .","###Prompt: Weasley: Help me, Harry, This one’s a — a — a ten? Ah yes, I see the little number on it now. . . . So this is a five?
Answer as if you are Harry to the previous line.

###Assistant: Harry: A twenty, Ah yes, so it is. . . . I don’t know, these little bits of paper . . .",Harry
Roberts: You foreign?,Weasley: Foreign? Foreign? Foreign?,"###Prompt: Roberts: You foreign?
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Foreign? Foreign? Foreign?",Weasley
"Roberts: You’re not the first one who’s had trouble with money, I had two try and pay me with great gold coins the size of hubcaps ten minutes ago.",Weasley: Did you really?,"###Prompt: Roberts: You’re not the first one who’s had trouble with money, I had two try and pay me with great gold coins the size of hubcaps ten minutes ago.
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Did you really?",Weasley
"Roberts: Never been this crowded, Hundreds of pre-bookings. People usually just turn up. . . .",Weasley: Is that right?,"###Prompt: Roberts: Never been this crowded, Hundreds of pre-bookings. People usually just turn up. . . .
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Is that right?",Weasley
"Roberts: Aye, People from all over. Loads of foreigners. And not just foreigners. Weirdos, you know? There’s a bloke walking ’round in a kilt and a poncho.",Weasley: Shouldn’t he?,"###Prompt: Roberts: Aye, People from all over. Loads of foreigners. And not just foreigners. Weirdos, you know? There’s a bloke walking ’round in a kilt and a poncho.
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Shouldn’t he?",Weasley
"Roberts: It’s like some sort of . . . I dunno . . . like some sort of rally, They all seem to know each other. Like a big party.",wizard: Obliviate!,"###Prompt: Roberts: It’s like some sort of . . . I dunno . . . like some sort of rally, They all seem to know each other. Like a big party.
Answer as if you are wizard to the previous line.

###Assistant: wizard: Obliviate!",wizard
"Roberts: A map of the campsite for you, And your change.","Weasley: Thanks very much,","###Prompt: Roberts: A map of the campsite for you, And your change.
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Thanks very much,",Weasley
"wizard: Been having a lot of trouble with him. Needs a Memory Charm ten times a day to keep him happy. Trotting around talking about Bludgers and Quaffles at the top of his voice, not a worry about anti-Muggle security. Blimey, I’ll be glad when this is over. See you later, Arthur.","Ginny: I thought Mr. Bagman was Head of Magical Games and Sports, He should know better than to talk about Bludgers near Muggles, shouldn’t he?","###Prompt: wizard: Been having a lot of trouble with him. Needs a Memory Charm ten times a day to keep him happy. Trotting around talking about Bludgers and Quaffles at the top of his voice, not a worry about anti-Muggle security. Blimey, I’ll be glad when this is over. See you later, Arthur.
Answer as if you are Ginny to the previous line.

###Assistant: Ginny: I thought Mr. Bagman was Head of Magical Games and Sports, He should know better than to talk about Bludgers near Muggles, shouldn’t he?",Ginny
"Weasley: He should, but Ludo’s always been a bit . . . well . . . lax about security. You couldn’t wish for a more enthusiastic Head of the sports department though. He played Quidditch for England himself, you know. And he was the best Beater the Wimbourne Wasps ever had.Witch: How many times, Kevin? You don’t — touch — Daddy’s — wand — yecchh!",Kevin: You bust slug! You bust slug!,"###Prompt: Weasley: He should, but Ludo’s always been a bit . . . well . . . lax about security. You couldn’t wish for a more enthusiastic Head of the sports department though. He played Quidditch for England himself, you know. And he was the best Beater the Wimbourne Wasps ever had.Witch: How many times, Kevin? You don’t — touch — Daddy’s — wand — yecchh!
Answer as if you are Kevin to the previous line.

###Assistant: Kevin: You bust slug! You bust slug!",Kevin
"wizard: In broad daylight! Parents having a lie-in, I suppose —","Ron: Er — is it my eyes, or has everything gone green?","###Prompt: wizard: In broad daylight! Parents having a lie-in, I suppose —
Answer as if you are Ron to the previous line.

###Assistant: Ron: Er — is it my eyes, or has everything gone green?",Ron
Seamus: Harry! Ron! Hermione! Like the decorations? The Ministry’s not too happy.,"Mrs. Finnigan : Ah, why shouldn’t we show our colors? You should see what the Bulgarians have got dangling all over their tents. You’ll be supporting Ireland, of course?","###Prompt: Seamus: Harry! Ron! Hermione! Like the decorations? The Ministry’s not too happy.
Answer as if you are Mrs. Finnigan to the previous line.

###Assistant: Mrs. Finnigan : Ah, why shouldn’t we show our colors? You should see what the Bulgarians have got dangling all over their tents. You’ll be supporting Ireland, of course?",Mrs. Finnigan
Ron: Like we’d say anything else surrounded by that lot.,Hermione: I wonder what the Bulgarians have got dangling all over their tents?,"###Prompt: Ron: Like we’d say anything else surrounded by that lot.
Answer as if you are Hermione to the previous line.

###Assistant: Hermione: I wonder what the Bulgarians have got dangling all over their tents?",Hermione
"Harry: Let’s go and have a look,","Ron: Krum,","###Prompt: Harry: Let’s go and have a look,
Answer as if you are Ron to the previous line.

###Assistant: Ron: Krum,",Ron
Hermione: What?,Ron: Krum!,"###Prompt: Hermione: What?
Answer as if you are Ron to the previous line.

###Assistant: Ron: Krum!",Ron
"Hermione: He looks really grumpy,","Ron: ‘Really grumpy’? Who cares what he looks like? He’s unbelievable. He’s really young too. Only just eighteen or something. He’s a genius, you wait until tonight, you’ll see.Harry: Who d’you reckon they are? They don’t go to Hogwarts, do they?","###Prompt: Hermione: He looks really grumpy,
Answer as if you are Ron to the previous line.

###Assistant: Ron: ‘Really grumpy’? Who cares what he looks like? He’s unbelievable. He’s really young too. Only just eighteen or something. He’s a genius, you wait until tonight, you’ll see.Harry: Who d’you reckon they are? They don’t go to Hogwarts, do they?",Ron
"Ron: ’Spect they go to some foreign school, I know there are others. Never met anyone who went to one, though. Bill had a penfriend at a school in Brazil . . . this was years and years ago . . . and he wanted to go on an exchange trip but Mum and Dad couldn’t afford it.George: You’ve been ages,","Ron: Met a few people, You not got that fire started yet?","###Prompt: Ron: ’Spect they go to some foreign school, I know there are others. Never met anyone who went to one, though. Bill had a penfriend at a school in Brazil . . . this was years and years ago . . . and he wanted to go on an exchange trip but Mum and Dad couldn’t afford it.George: You’ve been ages,
Answer as if you are Ron to the previous line.

###Assistant: Ron: Met a few people, You not got that fire started yet?",Ron
"Fred: Dad’s having fun with the matches,",Weasley: Oops!,"###Prompt: Fred: Dad’s having fun with the matches,
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Oops!",Weasley
"Hermione: Come here, Mr. Weasley,",Harry: They’re what?,"###Prompt: Hermione: Come here, Mr. Weasley,
Answer as if you are Harry to the previous line.

###Assistant: Harry: They’re what?",Harry
"Weasley: From the Department of Mysteries, top secret, no idea what they get up to. . . .","Percy: Just Apparated, Dad,","###Prompt: Weasley: From the Department of Mysteries, top secret, no idea what they get up to. . . .
Answer as if you are Percy to the previous line.

###Assistant: Percy: Just Apparated, Dad,",Percy
Weasley: Harry! The man of the moment! Ludo!,"Bagman: Ahoy there! Arthur, old man, what a day, eh? What a day! Could we have asked for more perfect weather? A cloudless night coming . . . and hardly a hiccough in the arrangements. . . . Not much for me to do!","###Prompt: Weasley: Harry! The man of the moment! Ludo!
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Ahoy there! Arthur, old man, what a day, eh? What a day! Could we have asked for more perfect weather? A cloudless night coming . . . and hardly a hiccough in the arrangements. . . . Not much for me to do!",Bagman
"Weasley: Ah — yes, this is my son Percy. Everyone,","Bagman: Fancy a flutter on the match, Arthur?","###Prompt: Weasley: Ah — yes, this is my son Percy. Everyone,
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Fancy a flutter on the match, Arthur?",Bagman
"Weasley: Oh . . . go on then, Let’s see . . . a Galleon on Ireland to win?","Bagman: A Galleon? Very well, very well . . . any other takers?","###Prompt: Weasley: Oh . . . go on then, Let’s see . . . a Galleon on Ireland to win?
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: A Galleon? Very well, very well . . . any other takers?",Bagman
"Weasley: They’re a bit young to be gambling,","Fred: We’ll bet thirty-seven Galleons, fifteen Sickles, three Knuts, Oh and we’ll throw in a fake wand.","###Prompt: Weasley: They’re a bit young to be gambling,
Answer as if you are Fred to the previous line.

###Assistant: Fred: We’ll bet thirty-seven Galleons, fifteen Sickles, three Knuts, Oh and we’ll throw in a fake wand.",Fred
Percy: You don’t want to go showing Mr. Bagman rubbish like that —,Bagman: Excellent! I haven’t seen one that convincing in years! I’d pay five Galleons for that!,"###Prompt: Percy: You don’t want to go showing Mr. Bagman rubbish like that —
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Excellent! I haven’t seen one that convincing in years! I’d pay five Galleons for that!",Bagman
"Weasley: Boys, I don’t want you betting. . . . That’s all your savings. . . . Your mother —","Bagman: Don’t be a spoilsport, Arthur! They’re old enough to know what they want! You reckon Ireland will win but Krum’ll get the Snitch?  Not a chance, boys, not a chance. . . . I’ll give you excellent odds on that one. . . . We’ll add five Galleons for the funny wand, then, shall we. . . .","###Prompt: Weasley: Boys, I don’t want you betting. . . . That’s all your savings. . . . Your mother —
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Don’t be a spoilsport, Arthur! They’re old enough to know what they want! You reckon Ireland will win but Krum’ll get the Snitch?  Not a chance, boys, not a chance. . . . I’ll give you excellent odds on that one. . . . We’ll add five Galleons for the funny wand, then, shall we. . . .",Bagman
"George: Cheers,","Bagman: Couldn’t do me a brew, I suppose? My Bulgarian opposite number’s making difficulties, and I can’t understand a word he’s saying. Barty’ll be able to sort it out. He speaks about a hundred and fifty languages.","###Prompt: George: Cheers,
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Couldn’t do me a brew, I suppose? My Bulgarian opposite number’s making difficulties, and I can’t understand a word he’s saying. Barty’ll be able to sort it out. He speaks about a hundred and fifty languages.",Bagman
Percy: Mr. Crouch? He speaks over two hundred! Mermish and Gobbledegook and Troll . . .,"Fred: Anyone can speak Troll, All you have to do is point and grunt.","###Prompt: Percy: Mr. Crouch? He speaks over two hundred! Mermish and Gobbledegook and Troll . . .
Answer as if you are Fred to the previous line.

###Assistant: Fred: Anyone can speak Troll, All you have to do is point and grunt.",Fred
"Bagman: Aye, But she’ll turn up.  Poor old Bertha . . . memory like a leaky cauldron and no sense of direction. Lost, you take my word for it. She’ll wander back into the office sometime in October, thinking it’s still July.",Weasley: You don’t think it might be time to send someone to look for her?,"###Prompt: Bagman: Aye, But she’ll turn up.  Poor old Bertha . . . memory like a leaky cauldron and no sense of direction. Lost, you take my word for it. She’ll wander back into the office sometime in October, thinking it’s still July.
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: You don’t think it might be time to send someone to look for her?",Weasley
"Bagman: but we really can’t spare anyone at the moment. Oh — talk of the devil! Barty! Pull up a bit of grass, Barty,","Crouch : No thank you, Ludo, I’ve been looking for you everywhere. The Bulgarians are insisting we add another twelve seats to the Top Box.","###Prompt: Bagman: but we really can’t spare anyone at the moment. Oh — talk of the devil! Barty! Pull up a bit of grass, Barty,
Answer as if you are Crouch to the previous line.

###Assistant: Crouch : No thank you, Ludo, I’ve been looking for you everywhere. The Bulgarians are insisting we add another twelve seats to the Top Box.",Crouch
Bagman: Oh is that what they’re after? I thought the chap was asking to borrow a pair of tweezers. Bit of a strong accent.,Percy: Mr. Crouch! Would you like a cup of tea?,"###Prompt: Bagman: Oh is that what they’re after? I thought the chap was asking to borrow a pair of tweezers. Bit of a strong accent.
Answer as if you are Percy to the previous line.

###Assistant: Percy: Mr. Crouch! Would you like a cup of tea?",Percy
"Crouch : Oh, Yes — thank you, Weatherby. Oh and I’ve been wanting a word with you too, Arthur,","Weasley: I sent him an owl about that just last week. If I’ve told him once I’ve told him a hundred times: Carpets are defined as a Muggle Artifact by the Registry of Proscribed Charmable Objects, but will he listen?","###Prompt: Crouch : Oh, Yes — thank you, Weatherby. Oh and I’ve been wanting a word with you too, Arthur,
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: I sent him an owl about that just last week. If I’ve told him once I’ve told him a hundred times: Carpets are defined as a Muggle Artifact by the Registry of Proscribed Charmable Objects, but will he listen?",Weasley
"Crouch : I doubt it, He’s desperate to export here.","Bagman: Well, they’ll never replace brooms in Britain, will they?","###Prompt: Crouch : I doubt it, He’s desperate to export here.
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Well, they’ll never replace brooms in Britain, will they?",Bagman
"Crouch : Ali thinks there’s a niche in the market for a family vehicle, I remember my grandfather had an Axminster that could seat twelve — but that was before carpets were banned, of course.","Bagman: So, been keeping busy, Barty?","###Prompt: Crouch : Ali thinks there’s a niche in the market for a family vehicle, I remember my grandfather had an Axminster that could seat twelve — but that was before carpets were banned, of course.
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: So, been keeping busy, Barty?",Bagman
"Crouch : Fairly, Organizing Portkeys across five continents is no mean feat, Ludo.",Weasley: I expect you’ll both be glad when this is over?,"###Prompt: Crouch : Fairly, Organizing Portkeys across five continents is no mean feat, Ludo.
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: I expect you’ll both be glad when this is over?",Weasley
"Bagman: Glad! Don’t know when I’ve had more fun. . . . Still, it’s not as though we haven’t got anything to look forward to, eh, Barty? Eh?",Crouch : We agreed not to make the announcement until all the details —,"###Prompt: Bagman: Glad! Don’t know when I’ve had more fun. . . . Still, it’s not as though we haven’t got anything to look forward to, eh, Barty? Eh?
Answer as if you are Crouch to the previous line.

###Assistant: Crouch : We agreed not to make the announcement until all the details —",Crouch
"Bagman: Oh, They’ve signed, haven’t they? They’ve agreed, haven’t they? I bet you anything these kids’ll know soon enough anyway. I mean, it’s happening at Hogwarts —","Crouch : Ludo, we need to meet the Bulgarians, you know, Thank you for the tea, Weatherby.","###Prompt: Bagman: Oh, They’ve signed, haven’t they? They’ve agreed, haven’t they? I bet you anything these kids’ll know soon enough anyway. I mean, it’s happening at Hogwarts —
Answer as if you are Crouch to the previous line.

###Assistant: Crouch : Ludo, we need to meet the Bulgarians, you know, Thank you for the tea, Weatherby.",Crouch
Bagman: See you all later! You’ll be up in the Top Box with me — I’m commentating!,Fred: What? What were they talking about?,"###Prompt: Bagman: See you all later! You’ll be up in the Top Box with me — I’m commentating!
Answer as if you are Fred to the previous line.

###Assistant: Fred: What? What were they talking about?",Fred
"Weasley: You’ll find out soon enough,","Percy: It’s classified information, until such time as the Ministry decides to release it, Mr. Crouch was quite right not to disclose it.","###Prompt: Weasley: You’ll find out soon enough,
Answer as if you are Percy to the previous line.

###Assistant: Percy: It’s classified information, until such time as the Ministry decides to release it, Mr. Crouch was quite right not to disclose it.",Percy
"Fred: Oh,Ron: Been saving my pocket money all summer for this,","Harry: Wow, look at these!","###Prompt: Fred: Oh,Ron: Been saving my pocket money all summer for this,
Answer as if you are Harry to the previous line.

###Assistant: Harry: Wow, look at these!",Harry
"saleswizard: Omnioculars, You can replay action . . . slow everything down . . . and they flash up a play-by-play breakdown if you need it. Bargain — ten Galleons each.","Ron: Wish I hadn’t bought this now,","###Prompt: saleswizard: Omnioculars, You can replay action . . . slow everything down . . . and they flash up a play-by-play breakdown if you need it. Bargain — ten Galleons each.
Answer as if you are Ron to the previous line.

###Assistant: Ron: Wish I hadn’t bought this now,",Ron
"Harry: Three pairs,","Ron: No — don’t bother,","###Prompt: Harry: Three pairs,
Answer as if you are Ron to the previous line.

###Assistant: Ron: No — don’t bother,",Ron
"Harry: You won’t be getting anything for Christmas, For about ten years, mind.","Ron: Fair enough,","###Prompt: Harry: You won’t be getting anything for Christmas, For about ten years, mind.
Answer as if you are Ron to the previous line.

###Assistant: Ron: Fair enough,",Ron
"Hermione: Oooh, thanks, Harry, And I’ll get us some programs, look —","Weasley: It’s time! Come on, let’s go!Weasley: Seats a hundred thousand, Ministry task force of five hundred have been working on it all year. Muggle Repelling Charms on every inch of it. Every time Muggles have got anywhere near here all year, they’ve suddenly remembered urgent appointments and had to dash away again . . . bless them,","###Prompt: Hermione: Oooh, thanks, Harry, And I’ll get us some programs, look —
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: It’s time! Come on, let’s go!Weasley: Seats a hundred thousand, Ministry task force of five hundred have been working on it all year. Muggle Repelling Charms on every inch of it. Every time Muggles have got anywhere near here all year, they’ve suddenly remembered urgent appointments and had to dash away again . . . bless them,",Weasley
"Witch: Prime seats! Top Box! Straight upstairs, Arthur, and as high as you can go.",Harry: Dobby?,"###Prompt: Witch: Prime seats! Top Box! Straight upstairs, Arthur, and as high as you can go.
Answer as if you are Harry to the previous line.

###Assistant: Harry: Dobby?",Harry
Winky: Did sir just call me Dobby?,"Harry: Sorry, I just thought you were someone I knew.","###Prompt: Winky: Did sir just call me Dobby?
Answer as if you are Harry to the previous line.

###Assistant: Harry: Sorry, I just thought you were someone I knew.",Harry
"Winky: But I knows Dobby too, sir! My name is Winky, sir — and you, sir —","Harry: Yeah, I am,","###Prompt: Winky: But I knows Dobby too, sir! My name is Winky, sir — and you, sir —
Answer as if you are Harry to the previous line.

###Assistant: Harry: Yeah, I am,",Harry
"Winky: But Dobby talks of you all the time, sir!",Harry: How is he? How’s freedom suiting him?,"###Prompt: Winky: But Dobby talks of you all the time, sir!
Answer as if you are Harry to the previous line.

###Assistant: Harry: How is he? How’s freedom suiting him?",Harry
"Winky: Ah, sir, ah sir, meaning no disrespect, sir, but I is not sure you did Dobby a favor, sir, when you is setting him free.",Harry: Why? What’s wrong with him?,"###Prompt: Winky: Ah, sir, ah sir, meaning no disrespect, sir, but I is not sure you did Dobby a favor, sir, when you is setting him free.
Answer as if you are Harry to the previous line.

###Assistant: Harry: Why? What’s wrong with him?",Harry
"Winky: Freedom is going to Dobby’s head, sir, Ideas above his station, sir. Can’t get another position, sir.",Harry: Why not?,"###Prompt: Winky: Freedom is going to Dobby’s head, sir, Ideas above his station, sir. Can’t get another position, sir.
Answer as if you are Harry to the previous line.

###Assistant: Harry: Why not?",Harry
"Winky: He is wanting paying for his work, sir.",Harry: Paying? Well — why shouldn’t he be paid?,"###Prompt: Winky: He is wanting paying for his work, sir.
Answer as if you are Harry to the previous line.

###Assistant: Harry: Paying? Well — why shouldn’t he be paid?",Harry
"Winky: House-elves is not paid, sir! No, no, no. I says to Dobby, I says, go find yourself a nice family and settle down, Dobby. He is getting up to all sorts of high jinks, sir, what is unbecoming to a house-elf. You goes racketing around like this, Dobby, I says, and next thing I hear you’s up in front of the Department for the Regulation and Control of Magical Creatures, like some common goblin.","Harry: Well, it’s about time he had a bit of fun,","###Prompt: Winky: House-elves is not paid, sir! No, no, no. I says to Dobby, I says, go find yourself a nice family and settle down, Dobby. He is getting up to all sorts of high jinks, sir, what is unbecoming to a house-elf. You goes racketing around like this, Dobby, I says, and next thing I hear you’s up in front of the Department for the Regulation and Control of Magical Creatures, like some common goblin.
Answer as if you are Harry to the previous line.

###Assistant: Harry: Well, it’s about time he had a bit of fun,",Harry
"Winky: House-elves does what they is told. but my master sends me to the Top Box and I comes, sir.","Harry: Why’s he sent you up here, if he knows you don’t like heights?","###Prompt: Winky: House-elves does what they is told. but my master sends me to the Top Box and I comes, sir.
Answer as if you are Harry to the previous line.

###Assistant: Harry: Why’s he sent you up here, if he knows you don’t like heights?",Harry
"Winky: He is very busy, Winky is a good house-elf.","Ron: So that’s a house-elf? Weird things, aren’t they?","###Prompt: Winky: He is very busy, Winky is a good house-elf.
Answer as if you are Ron to the previous line.

###Assistant: Ron: So that’s a house-elf? Weird things, aren’t they?",Ron
"Harry: Dobby was weirder,",Ron: Wild! I can make that old bloke down there pick his nose again . . . and again . . . and again . . .,"###Prompt: Harry: Dobby was weirder,
Answer as if you are Ron to the previous line.

###Assistant: Ron: Wild! I can make that old bloke down there pick his nose again . . . and again . . . and again . . .",Ron
"Hermione: ‘A display from the team mascots will precede the match,’","Weasley: Oh that’s always worth watching, National teams bring creatures from their native land, you know, to put on a bit of a show.","###Prompt: Hermione: ‘A display from the team mascots will precede the match,’
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Oh that’s always worth watching, National teams bring creatures from their native land, you know, to put on a bit of a show.",Weasley
"Fudge : Knew we’d get there in the end, Ah, I see his house-elf’s saving him a seat. . . . Good job too, these Bulgarian blighters have been trying to cadge all the best places . . . ah, and here’s Lucius!","Mr. Malfoy: Ah, Fudge, How are you? I don’t think you’ve met my wife, Narcissa? Or our son, Draco?","###Prompt: Fudge : Knew we’d get there in the end, Ah, I see his house-elf’s saving him a seat. . . . Good job too, these Bulgarian blighters have been trying to cadge all the best places . . . ah, and here’s Lucius!
Answer as if you are Mr. Malfoy to the previous line.

###Assistant: Mr. Malfoy: Ah, Fudge, How are you? I don’t think you’ve met my wife, Narcissa? Or our son, Draco?",Mr. Malfoy
"Fudge : How do you do, how do you do? And allow me to introduce you to Mr. Oblansk — Obalonsk — Mr. — well, he’s the Bulgarian Minister of Magic, and he can’t understand a word I’m saying anyway, so never mind.","Mr. Malfoy: Good lord, Arthur, What did you have to sell to get seats in the Top Box? Surely your house wouldn’t have fetched this much?","###Prompt: Fudge : How do you do, how do you do? And allow me to introduce you to Mr. Oblansk — Obalonsk — Mr. — well, he’s the Bulgarian Minister of Magic, and he can’t understand a word I’m saying anyway, so never mind.
Answer as if you are Mr. Malfoy to the previous line.

###Assistant: Mr. Malfoy: Good lord, Arthur, What did you have to sell to get seats in the Top Box? Surely your house wouldn’t have fetched this much?",Mr. Malfoy
"Fudge : Lucius has just given a very generous contribution to St. Mungo’s Hospital for Magical Maladies and Injuries, Arthur. He’s here as my guest.","Weasley: How — how nice,","###Prompt: Fudge : Lucius has just given a very generous contribution to St. Mungo’s Hospital for Magical Maladies and Injuries, Arthur. He’s here as my guest.
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: How — how nice,",Weasley
"Ron: Slimy gits,",Bagman: Everyone ready? Minister — ready to go?,"###Prompt: Ron: Slimy gits,
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Everyone ready? Minister — ready to go?",Bagman
"Fudge : Ready when you are, Ludo, Sonorus!","Bagman: Ladies and gentlemen . . . welcome! Welcome to the final of the four hundred and twenty-second Quidditch World Cup! And now, without further ado, allow me to introduce . . . the Bulgarian National Team Mascots!","###Prompt: Fudge : Ready when you are, Ludo, Sonorus!
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Ladies and gentlemen . . . welcome! Welcome to the final of the four hundred and twenty-second Quidditch World Cup! And now, without further ado, allow me to introduce . . . the Bulgarian National Team Mascots!",Bagman
"Weasley: I wonder what they’ve brought, Aaah! Veela!",Harry: What are veel — ?,"###Prompt: Weasley: I wonder what they’ve brought, Aaah! Veela!
Answer as if you are Harry to the previous line.

###Assistant: Harry: What are veel — ?",Harry
"Hermione: Harry, what are you doing?","Weasley: once Ireland have had their say. You’ll be wanting that,","###Prompt: Hermione: Harry, what are you doing?
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: once Ireland have had their say. You’ll be wanting that,",Weasley
Ron: Huh?,Hermione: Honestly!,"###Prompt: Ron: Huh?
Answer as if you are Hermione to the previous line.

###Assistant: Hermione: Honestly!",Hermione
"Bagman: And now, kindly put your wands in the air . . . for the Irish National Team Mascots!",crowd: ooooh and aaaaah,"###Prompt: Bagman: And now, kindly put your wands in the air . . . for the Irish National Team Mascots!
Answer as if you are crowd to the previous line.

###Assistant: crowd: ooooh and aaaaah",crowd
Ron: Excellent!,Weasley: Leprechauns!,"###Prompt: Ron: Excellent!
Answer as if you are Weasley to the previous line.

###Assistant: Weasley: Leprechauns!",Weasley
"Ron: There you go, for the Omnioculars! Now you’ve got to buy me a Christmas present, ha!","Bagman: And now, I give you — Dimitrov! Dimitrov!","###Prompt: Ron: There you go, for the Omnioculars! Now you’ve got to buy me a Christmas present, ha!
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: And now, I give you — Dimitrov! Dimitrov!",Bagman
Dimitrov: Ivanova!,Bagman: Zograf! Levski! Vulchanov! Volkov! Aaaaaaand — Krum!,"###Prompt: Dimitrov: Ivanova!
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: Zograf! Levski! Vulchanov! Volkov! Aaaaaaand — Krum!",Bagman
"Ron: That’s him, that’s him!","Bagman: And now, Presenting — Connolly! Ryan! Troy! Mullet! Moran! Quigley! Aaaaaand — Lynch! Moran! Troy! Moran! Levski! Mullet! Moran! And it’s Mullet! Troy! Moran! Dimitrov! Back to Mullet! Troy! Levski! Moran! Levski! Dimitrov!","###Prompt: Ron: That’s him, that’s him!
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: And now, Presenting — Connolly! Ryan! Troy! Mullet! Moran! Quigley! Aaaaaand — Lynch! Moran! Troy! Moran! Levski! Mullet! Moran! And it’s Mullet! Troy! Moran! Dimitrov! Back to Mullet! Troy! Levski! Moran! Levski! Dimitrov!",Bagman
"Harry: Hawkshead Attacking Formation,",Bagman: TROY SCORES! Ten zero to Ireland!,"###Prompt: Harry: Hawkshead Attacking Formation,
Answer as if you are Bagman to the previous line.

###Assistant: Bagman: TROY SCORES! Ten zero to Ireland!",Bagman
Harry: What? But Levski’s got the Quaffle!,"Hermione: Harry, if you’re not going to watch at normal speed, you’re going to miss things!","###Prompt: Harry: What? But Levski’s got the Quaffle!
Answer as if you are Hermione to the previous line.

###Assistant: Hermione: Harry, if you’re not going to watch at normal speed, you’re going to miss things!",Hermione
